Name,Rank,Year,Rating
Der unsichtbare Dritte,98,1959,8.2
Ikiru - Einmal wirklich leben,99,1952,8.2
Aus dem Reich der Toten,100,1958,8.2
Das Appartement,101,1960,8.2
Die fabelhafte Welt der Amelie,102,2001,8.2
Uhrwerk Orange,103,1971,8.2
Frau ohne Gewissen,104,1944,8.2
Full Metal Jacket,105,1987,8.2
Scarface,106,1983,8.2
Hamilton,107,2020,8.2
Die Frau die singt - Incendies,108,2010,8.2
Heat,109,1995,8.2
Wer die Nachtigall stört,110,1962,8.2
Der Clou,111,1973,8.2
Oben,112,2009,8.2
Top Gun: Maverick,113,2022,8.2
Nader und Simin - eine Trennung,114,2011,8.2
Metropolis,115,1927,8.2
Taxi Driver,116,1976,8.2
L.A. Confidential,117,1997,8.2
Stirb langsam,118,1988,8.2
Snatch: Schweine und Diamanten,119,2000,8.2
Indiana Jones und der letzte Kreuzzug,120,1989,8.2
Fahrraddiebe,121,1948,8.2
Taare Zameen Par: Ein Stern auf Erden,122,2007,8.2
1917,123,2019,8.2
Der Untergang,124,2004,8.2
Dangal: Die Hoffnung auf den großen Sieg,125,2016,8.2
Für ein paar Dollar mehr,126,1965,8.2
Batman Begins,127,2005,8.2
Der Vagabund und das Kind,128,1921,8.2
Manche mögen's heiß,129,1959,8.2
The Father,130,2020,8.2
Alles über Eva,131,1950,8.2
The Wolf of Wall Street,132,2013,8.2
Green Book,133,2018,8.2
Das Urteil von Nürnberg,134,1961,8.2
Ran,135,1985,8.2
Casino,136,1995,8.2
Die Truman Show,137,1998,8.2
Pans Labyrinth,138,2006,8.2
There Will Be Blood,139,2007,8.2
Erbarmungslos,140,1992,8.2
The Sixth Sense - Nicht jede Gabe ist ein Segen,141,1999,8.2
Shutter Island,142,2010,8.2
A Beautiful Mind: Genie und Wahnsinn,143,2001,8.2
Jurassic Park,144,1993,8.1
Yojimbo - Der Leibwächter,145,1961,8.1
Der Schatz der Sierra Madre,146,1948,8.1
Die Ritter der Kokosnuß,147,1975,8.1
Gesprengte Ketten,148,1963,8.1
No Country for Old Men,149,2007,8.1
Kill Bill - Vol. 1,150,2003,8.1
Rashomon - Das Lustwäldchen,151,1950,8.1
Spider-Man: No Way Home,152,2021,8.1
Das Ding aus einer anderen Welt,153,1982,8.1
Findet Nemo,154,2003,8.1
Der Elefantenmensch,155,1980,8.1
Chinatown,156,1974,8.1
Wie ein wilder Stier,157,1980,8.1
V wie Vendetta,158,2005,8.1
Vom Winde verweht,159,1939,8.1
Bube Dame König grAS,160,1998,8.1
Alles steht Kopf,161,2015,8.1
Bei Anruf Mord,162,1954,8.1
In ihren Augen,163,2009,8.1
Das wandelnde Schloss,164,2004,8.1
"Three Billboards Outside Ebbing, Missouri",165,2017,8.1
Die Brücke am Kwai,166,1957,8.1
Trainspotting - Neue Helden,167,1996,8.1
Prisoners,168,2013,8.1
Warrior,169,2011,8.1
Fargo: Blutiger Schnee,170,1996,8.1
Gran Torino,171,2008,8.1
Mein Nachbar Totoro,172,1988,8.1
Catch Me If You Can,173,2002,8.1
Million Dollar Baby,174,2004,8.1
Kinder des Himmels,175,1997,8.1
Der Blade Runner,176,1982,8.1
Goldrausch,177,1925,8.1
Klaus,178,2019,8.1
Before Sunrise - Zwischenstopp in Wien,179,1995,8.1
Harry Potter und die Heiligtümer des Todes - Teil 2,180,2011,8.1
12 Years a Slave,181,2013,8.1
Die Faust im Nacken,182,1954,8.1
Ben Hur,183,1959,8.1
Grand Budapest Hotel,184,2014,8.1
Gone Girl - Das perfekte Opfer,185,2014,8.1
Wilde Erdbeeren,186,1957,8.1
Der General,187,1926,8.1
Der dritte Mann,188,1949,8.1
Im Namen des Vaters,189,1993,8.1
Barry Lyndon,190,1975,8.1
Die durch die Hölle gehen,191,1978,8.1
Hacksaw Ridge - Die Entscheidung,192,2016,8.1
Lohn der Angst,193,1953,8.1
Memories of Murder,194,2003,8.1
Sherlock Holmes Jr.,195,1924,8.1
Wild Tales: Jeder dreht mal durch!,196,2014,8.1
Mr. Smith geht nach Washington,197,1939,8.1
Mad Max: Fury Road,198,2015,8.1
"Mary & Max, oder - Schrumpfen Schafe, wenn es regnet",199,2009,8.1
Das siebente Siegel,200,1957,8.1
Drachenzähmen leicht gemacht,201,2010,8.1
Die Monster AG,202,2001,8.1
Raum,203,2015,8.1
Der weiße Hai,204,1975,8.1
Der Club der toten Dichter,205,1989,8.1
The Big Lebowski,206,1998,8.1
Die Reise nach Tokio,207,1953,8.1
Die Passion der Jeanne d'Arc,208,1928,8.1
Le Mans 66 - Gegen jede Chance,209,2019,8.0
Hotel Ruanda,210,2004,8.0
Rocky,211,1976,8.0
Platoon,212,1986,8.0
Ratatouille,213,2007,8.0
Spotlight,214,2015,8.0
Terminator,215,1984,8.0
Logan: The Wolverine,216,2017,8.0
Stand by Me: Das Geheimnis eines Sommers,217,1986,8.0
Rush: Alles für den Sieg,218,2013,8.0
Network,219,1976,8.0
Before Sunset,220,2004,8.0
Into the Wild,221,2007,8.0
Der Zauberer von Oz,222,1939,8.0
Die besten Jahre unseres Lebens,223,1946,8.0
Apus Weg ins Leben - 1.: Auf der Straße,224,1955,8.0
Und täglich grüßt das Murmeltier,225,1993,8.0
Der Exorzist,226,1973,8.0
Sein oder Nichtsein,227,1942,8.0
Die Unglaublichen,228,2004,8.0
Hass,229,1995,8.0
Fluch der Karibik,230,2003,8.0
Schlacht um Algier,231,1966,8.0
Hachiko - Eine wunderbare Freundschaft,232,2009,8.0
Früchte des Zorns,233,1940,8.0
Jai Bhim,234,2021,8.0
Mein Vater und mein Sohn,235,2005,8.0
Amores perros,236,2000,8.0
Rebecca,237,1940,8.0
Der Unbeugsame,238,1967,8.0
Die Taschendiebin,239,2016,8.0
Sie küßten und sie schlugen ihn,240,1959,8.0
"Meine Lieder, meine Träume",241,1965,8.0
Es geschah in einer Nacht,242,1934,8.0
Persona,243,1966,8.0
Das Leben des Brian,244,1979,8.0
Der Gigant aus dem All,245,1999,8.0
"Uzala, der Kirgise",246,1975,8.0
The Help,247,2011,8.0
Aladdin,248,1992,8.0
Gandhi,249,1982,8.0
Der mit dem Wolf tanzt,250,1990,8.0
